study_accession	sample_accession	experiment_accession	run_accession	scientific_name	read_count	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJNA348749	SAMN05915141	SRX2249316	SRR4427755	Escherichia coli	2198678	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4427755/SRR4427755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4427755/SRR4427755_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/005/SRR4427755	GSM2349915	Tube state 1 (IPTG-/aTc-/Ara-)
PRJNA348749	SAMN05915156	SRX2249317	SRR4427756	Escherichia coli	2783330	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4427756/SRR4427756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4427756/SRR4427756_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/006/SRR4427756	GSM2349916	Tube state 2 (IPTG+/aTc-/Ara-)
PRJNA348749	SAMN05915155	SRX2249318	SRR4427757	Escherichia coli	2315185	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4427757/SRR4427757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4427757/SRR4427757_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/007/SRR4427757	GSM2349917	Tube state 3 (IPTG-/aTc+/Ara-)
PRJNA348749	SAMN05915154	SRX2249319	SRR4427758	Escherichia coli	9599127	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4427758/SRR4427758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4427758/SRR4427758_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/008/SRR4427758	GSM2349918	Tube state 4 (IPTG+/aTc+/Ara-)
PRJNA348749	SAMN05915153	SRX2249320	SRR4427759	Escherichia coli	1398451	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4427759/SRR4427759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4427759/SRR4427759_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/009/SRR4427759	GSM2349919	Tube state 5 (IPTG-/aTc-/Ara+)
PRJNA348749	SAMN05915152	SRX2249321	SRR4427760	Escherichia coli	2550431	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4427760/SRR4427760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4427760/SRR4427760_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/000/SRR4427760	GSM2349920	Tube state 6 (IPTG+/aTc-/Ara+)
PRJNA348749	SAMN05915151	SRX2249322	SRR4427761	Escherichia coli	108509	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4427761/SRR4427761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4427761/SRR4427761_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/001/SRR4427761	GSM2349921	Tube state 7 (IPTG-/aTc+/Ara+)
PRJNA348749	SAMN05915150	SRX2249323	SRR4427762	Escherichia coli	94868	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4427762/SRR4427762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4427762/SRR4427762_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/002/SRR4427762	GSM2349922	Tube state 8 (IPTG+/aTc+/Ara+)
PRJNA348749	SAMN05915149	SRX2249324	SRR4427763	Escherichia coli	3932656	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4427763/SRR4427763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4427763/SRR4427763_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/003/SRR4427763	GSM2349923	Flask state 1 (IPTG-/aTc-/Ara-)
PRJNA348749	SAMN05915148	SRX2249325	SRR4427764	Escherichia coli	12446833	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4427764/SRR4427764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4427764/SRR4427764_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR442/004/SRR4427764	GSM2349924	Flask state 2 (IPTG+/aTc-/Ara-)
