study_accession	sample_accession	experiment_accession	run_accession	scientific_name	read_count	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJNA386508	SAMN07568504	SRX3141550	SRR5985582	Escherichia coli	3235080	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5985582/SRR5985582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5985582/SRR5985582_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5985582	GSM2757255	0x58 replicate 2 state 1 (IPTG-/aTc-/Ara-)
PRJNA386508	SAMN07568522	SRX3141551	SRR5985583	Escherichia coli	2706580	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5985583/SRR5985583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5985583/SRR5985583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5985583	GSM2757256	0x58 replicate 2 state 2 (IPTG+/aTc-/Ara-)
PRJNA386508	SAMN07568521	SRX3141552	SRR5985584	Escherichia coli	5385476	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5985584/SRR5985584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5985584/SRR5985584_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5985584	GSM2757257	0x58 replicate 2 state 3 (IPTG-/aTc+/Ara-)
PRJNA386508	SAMN07568520	SRX3141553	SRR5985585	Escherichia coli	2708104	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5985585/SRR5985585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5985585/SRR5985585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5985585	GSM2757258	0x58 replicate 2 state 4 (IPTG+/aTc+/Ara-)
PRJNA386508	SAMN07568519	SRX3141554	SRR5985586	Escherichia coli	8028568	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5985586/SRR5985586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5985586/SRR5985586_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5985586	GSM2757259	0x58 replicate 2 state 5 (IPTG-/aTc-/Ara+)
PRJNA386508	SAMN07568518	SRX3141555	SRR5985587	Escherichia coli	6041807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5985587/SRR5985587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5985587/SRR5985587_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5985587	GSM2757260	0x58 replicate 2 state 6 (IPTG+/aTc-/Ara+)
PRJNA386508	SAMN07568517	SRX3141556	SRR5985588	Escherichia coli	2868867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5985588/SRR5985588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5985588/SRR5985588_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5985588	GSM2757261	0x58 replicate 2 state 7 (IPTG-/aTc+/Ara+)
PRJNA386508	SAMN07568516	SRX3141557	SRR5985589	Escherichia coli	8807818	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5985589/SRR5985589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5985589/SRR5985589_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5985589	GSM2757262	0x58 replicate 2 state 8 (IPTG+/aTc+/Ara+)
PRJNA386508	SAMN07568515	SRX3141558	SRR5985590	Escherichia coli	10815270	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5985590/SRR5985590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5985590/SRR5985590_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5985590	GSM2757263	0x58 replicate 3 state 1 (IPTG-/aTc-/Ara-)
PRJNA386508	SAMN07568514	SRX3141559	SRR5985591	Escherichia coli	5624286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5985591/SRR5985591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5985591/SRR5985591_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/001/SRR5985591	GSM2757264	0x58 replicate 3 state 2 (IPTG+/aTc-/Ara-)
PRJNA386508	SAMN07568513	SRX3141560	SRR5985592	Escherichia coli	5013908	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5985592/SRR5985592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5985592/SRR5985592_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5985592	GSM2757265	0x58 replicate 3 state 3 (IPTG-/aTc+/Ara-)
PRJNA386508	SAMN07568512	SRX3141561	SRR5985593	Escherichia coli	12542469	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5985593/SRR5985593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5985593/SRR5985593_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5985593	GSM2757266	0x58 replicate 3 state 4 (IPTG+/aTc+/Ara-)
PRJNA386508	SAMN07568511	SRX3141562	SRR5985594	Escherichia coli	5379535	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5985594/SRR5985594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5985594/SRR5985594_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5985594	GSM2757267	0x58 replicate 3 state 5 (IPTG-/aTc-/Ara+)
PRJNA386508	SAMN07568510	SRX3141563	SRR5985595	Escherichia coli	4385846	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5985595/SRR5985595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5985595/SRR5985595_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5985595	GSM2757268	0x58 replicate 3 state 6 (IPTG+/aTc-/Ara+)
PRJNA386508	SAMN07568509	SRX3141564	SRR5985596	Escherichia coli	4227464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5985596/SRR5985596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/006/SRR5985596/SRR5985596_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/006/SRR5985596	GSM2757269	0x58 replicate 3 state 7 (IPTG-/aTc+/Ara+)
PRJNA386508	SAMN07568508	SRX3141565	SRR5985597	Escherichia coli	5069865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5985597/SRR5985597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/007/SRR5985597/SRR5985597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/007/SRR5985597	GSM2757270	0x58 replicate 3 state 8 (IPTG+/aTc+/Ara+)
PRJNA386508	SAMN07568507	SRX3141566	SRR5985598	Escherichia coli	519019	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5985598/SRR5985598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5985598/SRR5985598_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5985598	GSM2757271	Modified 0x58 state 3 (IPTG-/aTc+/Ara-)
PRJNA386508	SAMN07568506	SRX3141567	SRR5985599	Escherichia coli	3455579	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5985599/SRR5985599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5985599/SRR5985599_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5985599	GSM2757272	Control pAN1201 replicate 1 (IPTG-/aTc-/Ara-)
PRJNA386508	SAMN07568505	SRX3141568	SRR5985600	Escherichia coli	10439771	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5985600/SRR5985600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5985600/SRR5985600_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5985600	GSM2757273	Control pAN1201 replicate 2 (IPTG-/aTc-/Ara-)
